"date","partner","sector_group","values"
2024-09-01,"US","Traditional & Basic",34458
2024-09-01,"VN","High-Tech & Strategic",20667
2024-09-01,"VN","Traditional & Basic",17505
2024-10-01,"CN_X_HK","High-Tech & Strategic",260521
2024-10-01,"CN_X_HK","Traditional & Basic",146933
2024-10-01,"EU27_2020_NEA20","High-Tech & Strategic",316276
2024-10-01,"EU27_2020_NEA20","Traditional & Basic",155985
2024-10-01,"US","High-Tech & Strategic",136506
2024-10-01,"US","Traditional & Basic",37556
2024-10-01,"VN","High-Tech & Strategic",21406
2024-10-01,"VN","Traditional & Basic",22039
2024-11-01,"CN_X_HK","High-Tech & Strategic",243394
2024-11-01,"CN_X_HK","Traditional & Basic",124843
2024-11-01,"EU27_2020_NEA20","High-Tech & Strategic",306262
2024-11-01,"EU27_2020_NEA20","Traditional & Basic",147756
2024-11-01,"US","High-Tech & Strategic",146539
2024-11-01,"US","Traditional & Basic",34991
2024-11-01,"VN","High-Tech & Strategic",20419
2024-11-01,"VN","Traditional & Basic",15312
2024-12-01,"CN_X_HK","High-Tech & Strategic",203764
2024-12-01,"CN_X_HK","Traditional & Basic",111191
2024-12-01,"EU27_2020_NEA20","High-Tech & Strategic",255495
2024-12-01,"EU27_2020_NEA20","Traditional & Basic",123877
2024-12-01,"US","High-Tech & Strategic",133888
2024-12-01,"US","Traditional & Basic",33242
2024-12-01,"VN","High-Tech & Strategic",18091
2024-12-01,"VN","Traditional & Basic",16447
2025-01-01,"CN_X_HK","High-Tech & Strategic",222251
2025-01-01,"CN_X_HK","Traditional & Basic",135802
2025-01-01,"EU27_2020_NEA20","High-Tech & Strategic",282686
2025-01-01,"EU27_2020_NEA20","Traditional & Basic",137162
2025-01-01,"US","High-Tech & Strategic",139744
2025-01-01,"US","Traditional & Basic",35779
2025-01-01,"VN","High-Tech & Strategic",23405
2025-01-01,"VN","Traditional & Basic",21123
2025-02-01,"CN_X_HK","High-Tech & Strategic",214264
2025-02-01,"CN_X_HK","Traditional & Basic",123070
2025-02-01,"EU27_2020_NEA20","High-Tech & Strategic",289175
2025-02-01,"EU27_2020_NEA20","Traditional & Basic",138719
2025-02-01,"US","High-Tech & Strategic",140888
2025-02-01,"US","Traditional & Basic",34477
2025-02-01,"VN","High-Tech & Strategic",18735
2025-02-01,"VN","Traditional & Basic",17003
2025-03-01,"CN_X_HK","High-Tech & Strategic",252785
2025-03-01,"CN_X_HK","Traditional & Basic",133209
2025-03-01,"EU27_2020_NEA20","High-Tech & Strategic",312951
2025-03-01,"EU27_2020_NEA20","Traditional & Basic",148797
2025-03-01,"US","High-Tech & Strategic",160629
2025-03-01,"US","Traditional & Basic",41766
2025-03-01,"VN","High-Tech & Strategic",22734
2025-03-01,"VN","Traditional & Basic",18533
2025-04-01,"CN_X_HK","High-Tech & Strategic",244081
2025-04-01,"CN_X_HK","Traditional & Basic",109685
2025-04-01,"EU27_2020_NEA20","High-Tech & Strategic",305084
2025-04-01,"EU27_2020_NEA20","Traditional & Basic",145434
2025-04-01,"US","High-Tech & Strategic",156907
2025-04-01,"US","Traditional & Basic",37262
2025-04-01,"VN","High-Tech & Strategic",18028
