freq,stk_flow,indic_et,partner,sitc06,geo,TIME_PERIOD,values
M,IMP,TRD_VAL,VN,SITC6,EA20,2021-03-01,237.6
M,IMP,TRD_VAL,VN,SITC7,EA20,2021-03-01,1593.6
M,IMP,TRD_VAL,VN,SITC8,EA20,2021-03-01,924.3
M,IMP,TRD_VAL,CN_X_HK,SITC5,EA20,2021-04-01,3375.5
M,IMP,TRD_VAL,CN_X_HK,SITC6,EA20,2021-04-01,3018.3
M,IMP,TRD_VAL,CN_X_HK,SITC7,EA20,2021-04-01,15875.3
M,IMP,TRD_VAL,CN_X_HK,SITC8,EA20,2021-04-01,5716.6
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC5,EA20,2021-04-01,3977.5
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC6,EA20,2021-04-01,6102.1
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC7,EA20,2021-04-01,19483.5
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC8,EA20,2021-04-01,5398.3
M,IMP,TRD_VAL,US,SITC5,EA20,2021-04-01,4477.5
M,IMP,TRD_VAL,US,SITC6,EA20,2021-04-01,916.2
M,IMP,TRD_VAL,US,SITC7,EA20,2021-04-01,5751
M,IMP,TRD_VAL,US,SITC8,EA20,2021-04-01,2116.8
M,IMP,TRD_VAL,VN,SITC5,EA20,2021-04-01,26.6
M,IMP,TRD_VAL,VN,SITC6,EA20,2021-04-01,246.2
M,IMP,TRD_VAL,VN,SITC7,EA20,2021-04-01,1168.8
M,IMP,TRD_VAL,VN,SITC8,EA20,2021-04-01,789.1
M,IMP,TRD_VAL,CN_X_HK,SITC5,EA20,2021-05-01,3181.8
M,IMP,TRD_VAL,CN_X_HK,SITC6,EA20,2021-05-01,3065.4
M,IMP,TRD_VAL,CN_X_HK,SITC7,EA20,2021-05-01,15656.2
M,IMP,TRD_VAL,CN_X_HK,SITC8,EA20,2021-05-01,6015.6
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC5,EA20,2021-05-01,3920.1
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC6,EA20,2021-05-01,6374.2
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC7,EA20,2021-05-01,18432.2
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC8,EA20,2021-05-01,5468.4
M,IMP,TRD_VAL,US,SITC5,EA20,2021-05-01,4608.5
M,IMP,TRD_VAL,US,SITC6,EA20,2021-05-01,989.9
M,IMP,TRD_VAL,US,SITC7,EA20,2021-05-01,5745.5
M,IMP,TRD_VAL,US,SITC8,EA20,2021-05-01,2056.7
M,IMP,TRD_VAL,VN,SITC5,EA20,2021-05-01,43
M,IMP,TRD_VAL,VN,SITC6,EA20,2021-05-01,318.6
M,IMP,TRD_VAL,VN,SITC7,EA20,2021-05-01,1249.9
M,IMP,TRD_VAL,VN,SITC8,EA20,2021-05-01,779.4
M,IMP,TRD_VAL,CN_X_HK,SITC5,EA20,2021-06-01,2227.5
M,IMP,TRD_VAL,CN_X_HK,SITC6,EA20,2021-06-01,3306.9
M,IMP,TRD_VAL,CN_X_HK,SITC7,EA20,2021-06-01,16114
M,IMP,TRD_VAL,CN_X_HK,SITC8,EA20,2021-06-01,6576.4
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC5,EA20,2021-06-01,4296.1
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC6,EA20,2021-06-01,6828
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC7,EA20,2021-06-01,19520.1
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC8,EA20,2021-06-01,5804.1
M,IMP,TRD_VAL,US,SITC5,EA20,2021-06-01,4823.9
M,IMP,TRD_VAL,US,SITC6,EA20,2021-06-01,974.2
M,IMP,TRD_VAL,US,SITC7,EA20,2021-06-01,6553.5
M,IMP,TRD_VAL,US,SITC8,EA20,2021-06-01,2184.3
M,IMP,TRD_VAL,VN,SITC5,EA20,2021-06-01,42.7
M,IMP,TRD_VAL,VN,SITC6,EA20,2021-06-01,226.5
M,IMP,TRD_VAL,VN,SITC7,EA20,2021-06-01,1553.3
M,IMP,TRD_VAL,VN,SITC8,EA20,2021-06-01,842.8
M,IMP,TRD_VAL,CN_X_HK,SITC5,EA20,2021-07-01,2285.8
M,IMP,TRD_VAL,CN_X_HK,SITC6,EA20,2021-07-01,3483.6
M,IMP,TRD_VAL,CN_X_HK,SITC7,EA20,2021-07-01,16433.6
M,IMP,TRD_VAL,CN_X_HK,SITC8,EA20,2021-07-01,6978.8
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC5,EA20,2021-07-01,3995.6
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC6,EA20,2021-07-01,6362
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC7,EA20,2021-07-01,17447.9
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC8,EA20,2021-07-01,5412.6
M,IMP,TRD_VAL,US,SITC5,EA20,2021-07-01,4298.7
M,IMP,TRD_VAL,US,SITC6,EA20,2021-07-01,903.7
M,IMP,TRD_VAL,US,SITC7,EA20,2021-07-01,5338.6
M,IMP,TRD_VAL,US,SITC8,EA20,2021-07-01,2065.3
M,IMP,TRD_VAL,VN,SITC5,EA20,2021-07-01,35.5
M,IMP,TRD_VAL,VN,SITC6,EA20,2021-07-01,279.1
M,IMP,TRD_VAL,VN,SITC7,EA20,2021-07-01,1156.9
M,IMP,TRD_VAL,VN,SITC8,EA20,2021-07-01,890
M,IMP,TRD_VAL,CN_X_HK,SITC5,EA20,2021-08-01,2342
M,IMP,TRD_VAL,CN_X_HK,SITC6,EA20,2021-08-01,3963.7
M,IMP,TRD_VAL,CN_X_HK,SITC7,EA20,2021-08-01,16954.4
M,IMP,TRD_VAL,CN_X_HK,SITC8,EA20,2021-08-01,8493.3
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC5,EA20,2021-08-01,3702.1
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC6,EA20,2021-08-01,5836.3
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC7,EA20,2021-08-01,14013.8
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC8,EA20,2021-08-01,5267
M,IMP,TRD_VAL,US,SITC5,EA20,2021-08-01,4596
M,IMP,TRD_VAL,US,SITC6,EA20,2021-08-01,914.4
M,IMP,TRD_VAL,US,SITC7,EA20,2021-08-01,5829.6
M,IMP,TRD_VAL,US,SITC8,EA20,2021-08-01,2007.6
M,IMP,TRD_VAL,VN,SITC5,EA20,2021-08-01,33.4
M,IMP,TRD_VAL,VN,SITC6,EA20,2021-08-01,359.1
